awb,order,ship_date,erp_freight_usd,op_shipping_cost_inr,fob_declared_usd
,C-43-35444-21,2026-07-15,0.0,10904.6,107.83
,C-43-35444-21,2026-07-15,0.0,10904.6,107.83
,C-43-35444-21,2026-07-15,0.0,10904.6,107.83
,C-43-35444-21,2026-07-15,0.0,10904.6,107.83
,C-43-39685-21,2026-07-15,0.0,3644.7,27.42
,C-43-39685-21,2026-07-15,0.0,3644.7,27.42
794840965228,C-43-39685-21,2026-07-15,23.37,3644.7,27.42
,C-43-39685-21,2026-07-16,0.0,3644.7,27.42
,C-43-39685-21,2026-07-16,0.0,3644.7,27.42
794841037804,C-43-39431-21,2026-07-16,61.34,5636.9,143.03
794841266770,C-43-40404-21,2026-07-16,61.02,5879.1,47.82
794841266677,C-43-40583-21,2026-07-16,31.15,3001.1,0.0
794841266758,C-43-40810-21,2026-07-16,20.57,3915.5,30.0
794841266714,C-43-40486-21,2026-07-16,37.83,3644.7,31.84
794841266725,C-43-40906-21,2026-07-16,20.57,5153.0,80.59
794841447850,C-43-42439-21,2026-07-17,50.97,4911.3,92.93
794841447909,C-43-41772-21,2026-07-17,48.46,4669.2,89.5
794841447791,C-43-40670-21,2026-07-17,71.06,6846.9,130.92
794841447622,C-43-42628-21,2026-07-17,71.06,6846.9,89.1
874568147575,C-43-41983-21,2026-07-18,37.86,3644.7,43.3
874568154084,C-43-42521-21,2026-07-18,31.17,3001.1,23.25
874568122468,C-53-7871541-22,2026-07-18,63.58,6121.2,73.81
874568169180,C-43-42806-21,2026-07-18,37.86,3644.7,23.63
874568122137,C-43-40200-21,2026-07-18,53.52,5153.0,68.79
874568138099,C-43-41590-21,2026-07-18,120.54,11605.7,155.17
874568132951,C-43-41171-21,2026-07-18,35.04,3373.7,33.79
874568119244,C-43-39577-21,2026-07-18,177.09,0.0,124.63
874568137644,C-43-41552-21,2026-07-18,58.55,5636.9,115.99
874568166743,C-43-42678-21,2026-07-18,130.91,12604.1,131.48
874568149810,C-43-42150-21,2026-07-18,68.6,6605.1,104.46
874568136762,C-43-41391-21,2026-07-18,120.54,11605.7,342.05
874568131360,C-43-41013-21,2026-07-18,58.55,5636.9,117.31
874568117024,C-43-39349-21,2026-07-18,43.48,4186.6,62.79
874568116576,C-43-39262-21,2026-07-18,40.67,3915.5,44.48
874568161410,C-43-42599-21,2026-07-18,43.48,4186.6,179.82
874568164453,C-43-42614-21,2026-07-18,43.48,4186.6,66.58
874568167956,C-43-42755-21,2026-07-18,23.73,2284.4,43.95
874568155275,C-43-42332-21,2026-07-18,43.48,4186.6,52.63
874568119634,C-43-39889-21,2026-07-18,110.17,10606.9,180.08
874568158263,C-43-42420-21,2026-07-18,24.66,2374.2,21.85
874568138879,C-43-41654-21,2026-07-18,40.67,3915.5,68.88
874568144668,C-4103604353,2026-07-18,35.04,2687.6,25.75
874568148620,C-43-42001-21,2026-07-18,43.48,4186.6,47.7
874568162016,C-43-42605-21,2026-07-18,24.66,2374.2,21.39
874568133914,C-43-41192-21,2026-07-18,48.5,4669.2,76.16
874568157587,C-43-42391-21,2026-07-18,53.52,5153.0,61.46
874568144040,C-43-41846-21,2026-07-18,32.23,3103.0,222.88
874568133822,C-43-41783-21,2026-07-18,40.67,3915.5,40.16
874568159443,C-43-42459-21,2026-07-18,68.6,6605.1,137.69
874568152964,C-43-42280-21,2026-07-18,103.25,9941.1,135.31
874568124541,C-43-40456-21,2026-07-18,237.83,22898.1,564.69
874568147049,C-43-41984-21,2026-07-18,53.52,5153.0,85.6
874568168128,C-43-42725-21,2026-07-18,32.23,3103.0,28.9
874568114643,C-53-7871442-22,2026-07-18,106.71,10274.0,198.1
874568155930,C-43-42371-21,2026-07-18,53.52,5153.0,68.38
874568121358,C-43-40104-21,2026-07-18,40.67,3915.5,50.93
874568169823,C-43-42833-21,2026-07-18,53.52,5153.0,52.67
874568164041,C-43-42607-21,2026-07-18,48.5,4669.2,44.63
874568124243,C-43-40398-21,2026-07-18,37.86,3644.7,32.85
874568142713,C-43-41834-21,2026-07-18,58.55,5636.9,110.8
874568126030,C-43-40602-21,2026-07-18,141.28,13602.9,254.22
874568140813,C-43-41736-21,2026-07-18,21.4,2060.6,26.57
874568145436,C-43-41978-21,2026-07-18,103.25,9941.1,235.21
874568129988,C-53-7871585-22,2026-07-18,27.91,2687.6,21.66
874568149589,C-43-42011-21,2026-07-18,169.49,16318.9,214.22
874568155069,C-43-42593-21,2026-07-18,27.91,2687.6,34.12
874568115102,C-43-38892-21,2026-07-18,58.55,5636.9,41.31
874568140581,C-43-41711-21,2026-07-18,117.08,11272.8,232.03
874568127404,C-53-7871572-22,2026-07-18,27.91,2586.9,22.47
874568122582,C-43-40273-21,2026-07-18,106.71,10274.0,119.65
874568169709,C-43-42809-21,2026-07-18,37.86,3644.7,45.26
874568151707,C-43-42163-21,2026-07-18,89.42,8609.7,165.83
874568118373,C-43-39763-21,2026-07-18,51.01,4911.3,48.1
874568120925,C-43-40085-21,2026-07-18,40.67,3915.5,58.56
874568113636,C-43-38765-21,2026-07-18,51.01,4911.3,69.13
874568130135,C-43-40790-21,2026-07-18,35.04,3373.7,47.94
874568164317,C-43-42664-21,2026-07-18,56.04,5395.2,56.67
874568118329,C-43-39516-21,2026-07-18,31.17,3001.1,39.31
874568127963,C-43-40703-21,2026-07-18,31.17,3001.1,15.58
874568132002,C-43-41067-21,2026-07-18,56.04,5395.2,73.52
874568150939,C-43-42160-21,2026-07-18,43.48,4186.6,55.68
874568139100,C-43-41692-21,2026-07-18,51.01,4911.3,40.6
874568135870,C-43-41306-21,2026-07-18,120.54,11605.7,156.94
874568127080,C-43-40646-21,2026-07-18,336.61,0.0,423.13
874568143352,C-43-41837-21,2026-07-18,37.86,3644.7,36.27
874568133487,C-43-41237-21,2026-07-18,27.91,2687.6,0.0
874664222251,C-43-43081-21,2026-07-21,20.73,1771.4,2.0
874664226338,C-4088515682,2026-07-21,36.23,0.0,41.5
,C-43-41162-21,2026-07-21,0.0,2711.8,71.72
,C-43-41732-21,2026-07-21,0.0,5932.0,54.25
,C-43-42146-21,2026-07-21,0.0,5199.7,93.71
,C-43-42315-21,2026-07-21,0.0,9023.2,152.02
,C-43-41204-21,2026-07-21,0.0,13053.8,287.79
,C-43-42284-21,2026-07-21,0.0,9694.8,116.7
,C-4103408295,2026-07-21,0.0,8687.4,136.05
,C-4104618768,2026-07-21,0.0,2079.2,27.57
,C-43-42107-21,2026-07-21,0.0,6420.4,80.51
,C-43-41835-21,2026-07-21,0.0,3130.9,48.73
,C-43-42316-21,2026-07-21,0.0,2711.8,69.63
,C-43-41815-21,2026-07-21,0.0,4224.4,50.51
,C-4105932769,2026-07-21,0.0,10030.9,192.45
,C-43-42785-21,2026-07-21,0.0,4224.4,51.13
