order,ship_date,billable_kg,fuel_pct,fedex_inr_gst,ups_saver_inr_gst,diff,oversize
C-43-44824-21,2026-09-15,8.0,49.75,6904.32,7198.5,294.18,0
C-43-46124-21,2026-09-15,7.5,49.75,6594.37,6799.38,205.01,0
C-43-45777-21,2026-09-15,5.5,49.75,5470.68,5200.92,-269.76,0
C-53-7872323-22,2026-09-15,4.5,49.75,4589.77,4468.13,-121.64,0
C-43-46312-21,2026-09-15,11.5,49.75,10866.51,9755.76,-1110.75,0
C-43-44689-21,2026-09-15,2.5,49.75,3528.45,3115.66,-412.79,0
C-43-46455-21,2026-09-15,10.0,49.75,7999.23,8584.47,585.24,0
C-43-46277-21,2026-09-15,6.0,49.75,5470.68,5600.98,130.3,0
C-53-7872376-22,2026-09-15,4.5,49.75,4589.77,4468.13,-121.64,0
C-53-7872184-22,2026-09-15,4.5,49.75,4589.77,4468.13,-121.64,0
C-43-46488-21,2026-09-15,2.0,49.75,2690.72,2757.83,67.12,0
C-43-45940-21,2026-09-15,15.5,49.75,13589.86,12495.16,-1094.69,0
C-53-7872272-22,2026-09-15,14.0,49.75,12811.62,11485.56,-1326.06,0
C-43-46423-21,2026-09-15,6.0,49.75,5470.68,5600.98,130.3,0
C-43-46392-21,2026-09-15,6.5,49.75,6033.01,5999.63,-33.38,0
C-43-46393-21,2026-09-15,4.0,49.75,4275.02,4131.75,-143.27,0
C-43-45422-21,2026-09-15,6.5,49.75,6033.01,5999.63,-33.38,0
C-53-7872285-22,2026-09-15,6.5,49.75,6033.01,5999.63,-33.38,0
C-43-45887-21,2026-09-15,4.0,49.75,4275.02,4131.75,-143.27,0
C-43-46085-21,2026-09-15,5.0,49.75,4905.48,4800.92,-104.56,0
C-43-46299-21,2026-09-15,3.5,49.75,3959.31,3797.02,-162.29,0
C-43-45561-21,2026-09-15,7.0,49.75,6314.17,6400.86,86.69,0
C-43-46389-21,2026-09-15,3.5,49.75,3643.6,3797.02,153.42,0
C-53-7872177-22,2026-09-15,20.5,49.75,17867.75,36138.31,18270.56,0
C-53-7872283-22,2026-09-15,4.0,49.75,3959.31,4131.75,172.44,0
C-53-7872235-22,2026-09-15,3.0,49.75,3643.6,3463.67,-179.94,0
C-43-46174-21,2026-09-15,6.0,49.75,5751.84,5600.98,-150.86,0
C-4164662251,2026-09-15,8.5,49.75,7156.7,7599.39,442.7,0
C-43-46555-21,2026-09-15,5.5,49.75,5470.68,5200.92,-269.76,0
C-43-46444-21,2026-09-15,4.0,49.75,4275.02,4131.75,-143.27,0
C-43-46495-21,2026-09-15,5.5,49.75,5470.68,5200.92,-269.76,0
C-43-46141-21,2026-09-15,2.0,49.75,2797.23,2757.83,-39.4,0
C-43-46467-21,2026-09-15,3.5,49.75,3959.31,3797.02,-162.29,0
C-43-46344-21,2026-09-15,5.5,49.75,5470.68,5200.92,-269.76,0
C-43-45880-21,2026-09-15,4.0,49.75,4275.02,4131.75,-143.27,0
C-43-46319-21,2026-09-15,4.0,49.75,4275.02,4131.75,-143.27,0
C-43-46125-21,2026-09-15,12.5,49.75,11644.75,10476.8,-1167.94,0
C-43-45528-21,2026-09-15,8.5,49.75,7156.7,7599.39,442.7,0
C-43-46387-21,2026-09-15,3.0,49.75,3643.6,3463.67,-179.94,0
C-43-46290-21,2026-09-15,4.0,49.75,4275.02,4131.75,-143.27,0
C-43-46369-21,2026-09-15,7.0,49.75,6314.17,6400.86,86.69,0
C-43-46226-21,2026-09-15,9.0,49.75,7437.86,7944.04,506.18,0
C-43-45577-21,2026-09-15,6.5,49.75,6033.01,5999.63,-33.38,0
C-43-46560-21,2026-09-15,11.0,49.75,10477.87,9394.7,-1083.17,0
C-43-46564-21,2026-09-15,7.5,49.75,6594.37,6799.38,205.01,0
C-43-44615-21,2026-09-15,7.0,49.75,6314.17,6400.86,86.69,0
C-43-45707-21,2026-09-15,6.0,49.75,5751.84,5600.98,-150.86,0
C-43-46533-21,2026-09-15,4.5,49.75,4589.77,4468.13,-121.64,0
C-43-45941-21,2026-09-15,5.5,49.75,5470.68,5200.92,-269.76,0
C-43-45217-21,2026-09-15,11.0,49.75,10477.87,9394.7,-1083.17,0
C-53-7872269-22,2026-09-15,8.5,49.75,7156.7,7599.39,442.7,0
C-43-45788-21,2026-09-15,6.0,49.75,5751.84,5600.98,-150.86,0
C-53-7872268-22,2026-09-15,13.0,49.75,12033.38,10814.49,-1218.9,0
C-43-46401-21,2026-09-15,3.5,49.75,3959.31,3797.02,-162.29,0
C-43-46446-21,2026-09-15,8.0,49.75,6875.53,7198.5,322.97,0
C-43-45349-21,2026-09-15,5.0,49.75,4905.48,4800.92,-104.56,0
C-43-46447-21,2026-09-15,7.0,49.75,6314.17,6400.86,86.69,0
C-43-46313-21,2026-09-15,7.0,49.75,6314.17,6400.86,86.69,0
C-53-7872389-22,2026-09-15,3.5,49.75,3959.31,3797.02,-162.29,0
C-43-46540-21,2026-09-15,10.0,49.75,7999.23,8584.47,585.24,0
C-43-45304-21,2026-09-15,13.5,49.75,12422.02,11148.64,-1273.39,0
C-53-7872244-22,2026-09-15,5.0,49.75,4905.48,4800.92,-104.56,0
